,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error
0,0.15809426307678223,0.2352460390192612,0.01087174415588379,0.0019000277007876723,3,0.2,50,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 50}",-0.4384503171900606,-0.4542313892870749,-0.5329899408909324,-0.3927110123498673,-0.5974398880621037,-0.4831645095560078,0.07288313295225377,25,-0.5697927113758565,-0.5646006172109775,-0.5758781275870363,-0.5249912478300943,-0.6352463933183499,-0.5741018194644629,0.03539068715172152,25
1,0.061581659317016604,0.002806605003212394,0.014920806884765625,0.0015858141877025849,3,0.2,100,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 100}",-0.44797868846185246,-0.44910100627712035,-0.5314605908196198,-0.3903059173204752,-0.5991325824307758,-0.4835957570619687,0.07321373905670647,27,-0.5776996267260646,-0.5616368993147013,-0.5752172166669389,-0.5239600517178015,-0.6367645948591881,-0.5750556778569388,0.036347857230148495,26
2,0.09411983489990235,0.0029904213122195285,0.022873449325561523,0.0015778187744632693,3,0.2,150,"{'max_depth': 3, 'max_features': 0.2, 'n_estimators': 150}",-0.44499350514823655,-0.4507807259877439,-0.5312447708248098,-0.3906548644861423,-0.5983067885293154,-0.48319613099524955,0.07298386174753006,26,-0.5761662735508521,-0.5646626267554872,-0.576450810385806,-0.5254136610131795,-0.6363548034864723,-0.5758096350383595,0.03558164052111752,27
3,0.04438424110412598,0.004268518354662387,0.009709024429321289,0.0008840235634203209,3,0.5,50,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 50}",-0.4345247883961904,-0.437644276439005,-0.49234173668999653,-0.37174868987514104,-0.5258727302138306,-0.45242644432283274,0.05298201451610151,21,-0.5569730421404757,-0.5604693328043561,-0.5566560722810311,-0.49377244355264577,-0.5845186648999419,-0.5504779111356901,0.030181013500273076,21
4,0.059992218017578126,0.0034627402248497696,0.013888740539550781,0.001545673305183967,3,0.5,100,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 100}",-0.43647740024364007,-0.4350239628837442,-0.48569227488619493,-0.37148470190846455,-0.5223107043044262,-0.45019780884529403,0.05113584892839528,20,-0.5567490122452153,-0.5579217946838682,-0.5530808566545221,-0.49457293974660893,-0.5835898730777715,-0.5491828952815971,0.029376507471565803,20
5,0.08794150352478028,0.004824718206336579,0.01948404312133789,0.002593033153275296,3,0.5,150,"{'max_depth': 3, 'max_features': 0.5, 'n_estimators': 150}",-0.43414160551529374,-0.4330508400850685,-0.4812368412442545,-0.372551447556508,-0.5269598218629863,-0.4495881112528222,0.05183579293007467,19,-0.5557335177520494,-0.5568291130761924,-0.5492512630759484,-0.4954172611382424,-0.5867245896182438,-0.5487911489321353,0.02966727111805122,19
6,0.04036211967468262,0.001250145022013657,0.00848846435546875,0.000532167389125993,3,0.8,50,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 50}",-0.44300836251096554,-0.4383142476713877,-0.47697336405755086,-0.37664370301219535,-0.5072643987268044,-0.44844081519578083,0.04372917688198993,18,-0.5510130282631731,-0.5598777335188875,-0.5531105345224058,-0.49191875010837727,-0.5725323300402286,-0.5456904752906144,0.02791611986167888,18
7,0.05955862998962402,0.0030144168320685167,0.018466997146606445,0.011114589397884692,3,0.8,100,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 100}",-0.4377527069281797,-0.4384797808887095,-0.47613739461092486,-0.3772777529817794,-0.5081855959077027,-0.4475666462634592,0.043841436480763926,16,-0.5497008094212079,-0.5592796776502703,-0.552085358785889,-0.4910449320722643,-0.5737384235110564,-0.5451698402881375,0.028330588502553076,16
8,0.09580340385437011,0.0048801496502586935,0.022177839279174806,0.0016968935808862123,3,0.8,150,"{'max_depth': 3, 'max_features': 0.8, 'n_estimators': 150}",-0.4355158835573227,-0.4390460037488564,-0.4755470281966894,-0.37807714617299437,-0.5132116225914037,-0.4482795368534533,0.0450249630288428,17,-0.5487667641815421,-0.5598641978520962,-0.5506793359574197,-0.49190519724194165,-0.5769107657105123,-0.5456252521887024,0.0286453769175893,17
9,0.038918590545654295,0.0027692504841949437,0.009563016891479491,0.0007455107709703609,4,0.2,50,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 50}",-0.4333234195454514,-0.43346244127623706,-0.5125831635166938,-0.37495510778810415,-0.5589163762169418,-0.46264810166868564,0.0650582692917274,24,-0.560753280968502,-0.5568068027967129,-0.5628536302339181,-0.5055409862629268,-0.610658611108979,-0.5593226622742077,0.03331273711612456,24
10,0.06439447402954102,0.006546739385107831,0.013208961486816407,0.0021792632849685174,4,0.2,100,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 100}",-0.4284073424637496,-0.43198362731446,-0.5147029087318891,-0.3732343696375346,-0.5567118852539388,-0.4610080266803144,0.06580547719607104,23,-0.5563186653786957,-0.5545994671170503,-0.5671203817341509,-0.5082187239341868,-0.6095154162230406,-0.5591545308774248,0.032320026982082306,23
11,0.09572477340698242,0.0065158500326971186,0.024658679962158203,0.0024314151180463203,4,0.2,150,"{'max_depth': 4, 'max_features': 0.2, 'n_estimators': 150}",-0.4232037241048319,-0.4370611073666845,-0.5117185257625967,-0.3712412707357591,-0.5540286484102669,-0.45945065527602785,0.06522722509257634,22,-0.5530979718868254,-0.5573539089982621,-0.5644823007390947,-0.5057739954877022,-0.6069692609419773,-0.5575354876107723,0.03222090235173508,22
12,0.04306650161743164,0.0014484130049510543,0.008413934707641601,0.00046699233019931863,4,0.5,50,"{'max_depth': 4, 'max_features': 0.5, 'n_estimators': 50}",-0.419112313225535,-0.4191600230766072,-0.4683249798199383,-0.3621658186753192,-0.5064419069764383,-0.43504100835476756,0.04903597327109387,12,-0.5363726075484054,-0.5434047539292254,-0.5368786074943682,-0.4873577372267097,-0.5703279517252668,-0.5348683315847952,0.026809758665884625,12
13,0.062284231185913086,0.009704799615156775,0.012151336669921875,0.001726393179406886,4,0.5,100,"{'max_depth': 4, 'max_features': 0.5, 'n_estimators': 100}",-0.4155429155356094,-0.4164671048610997,-0.4675515067411073,-0.3594144527938879,-0.49975604382488936,-0.43174640475131876,0.04823948108611336,11,-0.5330887237083083,-0.5424244567526478,-0.536958058634598,-0.4825742633376044,-0.5652368817876007,-0.5320564768441518,0.027136745459759026,11
14,0.09061875343322753,0.0014830290344479886,0.02163410186767578,0.001814770152123734,4,0.5,150,"{'max_depth': 4, 'max_features': 0.5, 'n_estimators': 150}",-0.4113587118894669,-0.41656383125295005,-0.46318282246092307,-0.359651015737184,-0.5066319595752329,-0.4314776681831514,0.04987914846575634,10,-0.5311986861006136,-0.542293400515165,-0.5344951630366961,-0.4816375379653088,-0.5696262417805568,-0.531850205879668,0.028512528818197946,10
15,0.042491912841796875,0.009800669214135483,0.007310152053833008,0.0015965435782745805,4,0.8,50,"{'max_depth': 4, 'max_features': 0.8, 'n_estimators': 50}",-0.40482123716713864,-0.41484708693558786,-0.4630352308709209,-0.352426726015175,-0.5050607705073434,-0.42803821029923317,0.05212944726842361,9,-0.5158512976960791,-0.5396794787531115,-0.5383933188355777,-0.4715998411151488,-0.5672211739406852,-0.5265490220681205,0.031939862212475446,9
16,0.05758900642395019,0.003821063925861958,0.011745023727416991,0.0023799875270166587,4,0.8,100,"{'max_depth': 4, 'max_features': 0.8, 'n_estimators': 100}",-0.403226709889551,-0.4175681375052562,-0.46075329162855927,-0.3545996066149119,-0.49603633446592793,-0.42643681602084127,0.04857913257025689,7,-0.5160195918008221,-0.5381266200925717,-0.5348415823770555,-0.4726672286749746,-0.5586418735683071,-0.5240593793027462,0.029037504732417292,7
17,0.09061064720153808,0.002500776068042682,0.022602558135986328,0.00297142154644506,4,0.8,150,"{'max_depth': 4, 'max_features': 0.8, 'n_estimators': 150}",-0.40453740855709314,-0.4176599509210647,-0.45979987006974704,-0.3583854106689617,-0.4973882001976069,-0.42755416808289476,0.047599498090893956,8,-0.5177663507353,-0.5390661786407972,-0.5334700553040334,-0.4728056358301809,-0.5595071468490563,-0.5245230734718735,0.02910595279416489,8
18,0.042377567291259764,0.006894888807348699,0.009586095809936523,0.001285216601592101,5,0.2,50,"{'max_depth': 5, 'max_features': 0.2, 'n_estimators': 50}",-0.411010688436204,-0.4239859459051007,-0.49807009701548166,-0.3553418554847804,-0.5340556374361483,-0.444492844855543,0.06384591196417314,15,-0.5373414306108941,-0.5443790429916804,-0.5595941518986414,-0.4845856468720473,-0.5950196707028942,-0.5441839886152315,0.035834510434856304,15
19,0.05895419120788574,0.004245259223751607,0.01981644630432129,0.012375603800184503,5,0.2,100,"{'max_depth': 5, 'max_features': 0.2, 'n_estimators': 100}",-0.41500434781355855,-0.4188381481187142,-0.49037778794290415,-0.36175210737890384,-0.5246414687341268,-0.44212277199764144,0.05809459225372728,14,-0.5397863870774744,-0.5423830190003099,-0.5553185987823466,-0.489809019247257,-0.5876006320810947,-0.5429795312376965,0.03156247952918443,14
20,0.08772134780883789,0.0069192397407717805,0.020872163772583007,0.0018788594144005708,5,0.2,150,"{'max_depth': 5, 'max_features': 0.2, 'n_estimators': 150}",-0.4132751919369125,-0.4201998818800294,-0.4894491022689856,-0.35935382261329796,-0.5223203133413952,-0.44091966240812414,0.05801324810725661,13,-0.5369885071490493,-0.5429213466088062,-0.5537747305609318,-0.4874318458599339,-0.5847965548201557,-0.5411825969997753,0.03152933882071096,13
21,0.040494012832641604,0.0034931255660023393,0.00942850112915039,0.001100100166107324,5,0.5,50,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 50}",-0.40800980900931316,-0.3976194139018941,-0.45088926681674746,-0.3528767567525147,-0.49178457913230916,-0.4202359651225557,0.04744908704312997,1,-0.5166949151248709,-0.5261044467384195,-0.5264401618144195,-0.4674519961907953,-0.5546112040439494,-0.518260544782491,0.02840339123289825,5
22,0.058174848556518555,0.0034466582986067457,0.011681842803955077,0.001231157302692447,5,0.5,100,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100}",-0.40738495322554863,-0.4051361881771867,-0.44979528321668827,-0.3502582659038265,-0.4939062098693216,-0.4212961800785143,0.048136198701181535,2,-0.5173805620352442,-0.5319817331373926,-0.5219155754630539,-0.46254744449277796,-0.5540021018807286,-0.5175654834018395,0.030270109100780703,4
23,0.08956718444824219,0.005423634972182805,0.022860288619995117,0.0016697132384663608,5,0.5,150,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 150}",-0.4086290403140393,-0.408245421673963,-0.448193856925509,-0.3491113671945536,-0.49422664194061927,-0.42168126560973684,0.0481311162735556,3,-0.5182716204583437,-0.5339478300739692,-0.5228352707807842,-0.4646458023860009,-0.5529935116782199,-0.5185388070754635,0.029487460394376528,6
24,0.03886880874633789,0.0017178464185863024,0.007885074615478516,0.0007968391295456654,5,0.8,50,"{'max_depth': 5, 'max_features': 0.8, 'n_estimators': 50}",-0.41416923390692545,-0.403864461447015,-0.4544709148767687,-0.3483263172761239,-0.49739988972713867,-0.42364616344679434,0.05008789194134813,6,-0.5081276570200493,-0.526171540648239,-0.5220491039803573,-0.4723687187049146,-0.5556487083027051,-0.516873145731253,0.027106908869518005,3
25,0.0575411319732666,0.003937849992905044,0.012942218780517578,0.0013379788243228009,5,0.8,100,"{'max_depth': 5, 'max_features': 0.8, 'n_estimators': 100}",-0.409484415375188,-0.4099193182733523,-0.45140738512842743,-0.34941667924028214,-0.492321531304461,-0.42250986586434214,0.04770646377816599,5,-0.5084269456234641,-0.531307383223013,-0.5204296324887274,-0.4684848514804152,-0.5534298070346102,-0.516415723970046,0.028174827201249492,2
26,0.09235978126525879,0.010103094732225234,0.018954992294311523,0.004605933925603622,5,0.8,150,"{'max_depth': 5, 'max_features': 0.8, 'n_estimators': 150}",-0.40451523175360476,-0.40842393323562715,-0.45511993147954777,-0.35101591180518993,-0.4910673150817733,-0.4220284646711486,0.047740941148864686,4,-0.5075571746086829,-0.5308713200317193,-0.5231478090002399,-0.4677240921860448,-0.5500547100378551,-0.5158710211729084,0.027690186012061007,1
