Energy,Metric,Counter,Runtime (ms),UNK1,UNK2,UNK3
26.85,Joules,power/energy-pkg/,760029160,100.00,,
22.47,Joules,power/energy-pkg/,639941411,100.00,,
18.83,Joules,power/energy-pkg/,568344575,100.00,,
23.61,Joules,power/energy-pkg/,658663183,100.00,,
21.64,Joules,power/energy-pkg/,645207678,100.00,,
26.43,Joules,power/energy-pkg/,745003089,100.00,,
23.49,Joules,power/energy-pkg/,662925728,100.00,,
22.53,Joules,power/energy-pkg/,653009921,100.00,,
21.00,Joules,power/energy-pkg/,632991086,100.00,,
22.98,Joules,power/energy-pkg/,649545283,100.00,,
27.32,Joules,power/energy-pkg/,755055713,100.00,,
29.81,Joules,power/energy-pkg/,841015186,100.00,,
31.13,Joules,power/energy-pkg/,840304062,100.00,,
33.52,Joules,power/energy-pkg/,919315615,100.00,,
27.29,Joules,power/energy-pkg/,778936661,100.00,,
25.30,Joules,power/energy-pkg/,702149941,100.00,,
25.42,Joules,power/energy-pkg/,739262734,100.00,,
22.25,Joules,power/energy-pkg/,657548783,100.00,,
26.03,Joules,power/energy-pkg/,725372754,100.00,,
32.20,Joules,power/energy-pkg/,853929717,100.00,,
31.69,Joules,power/energy-pkg/,852705891,100.00,,
32.86,Joules,power/energy-pkg/,875916281,100.00,,
37.12,Joules,power/energy-pkg/,970372891,100.00,,
31.90,Joules,power/energy-pkg/,837757456,100.00,,
36.59,Joules,power/energy-pkg/,1002280562,100.00,,
30.17,Joules,power/energy-pkg/,822141069,100.00,,
30.60,Joules,power/energy-pkg/,832852828,100.00,,
34.05,Joules,power/energy-pkg/,931113421,100.00,,
27.83,Joules,power/energy-pkg/,765215297,100.00,,
31.54,Joules,power/energy-pkg/,863902230,100.00,,
34.06,Joules,power/energy-pkg/,911742793,100.00,,
41.13,Joules,power/energy-pkg/,1057736437,100.00,,
33.49,Joules,power/energy-pkg/,896894745,100.00,,
41.38,Joules,power/energy-pkg/,1051002057,100.00,,
37.17,Joules,power/energy-pkg/,965995772,100.00,,
34.33,Joules,power/energy-pkg/,923978871,100.00,,
47.04,Joules,power/energy-pkg/,1240354859,100.00,,
39.01,Joules,power/energy-pkg/,1036443082,100.00,,
34.49,Joules,power/energy-pkg/,934488481,100.00,,
38.53,Joules,power/energy-pkg/,1036078679,100.00,,
41.57,Joules,power/energy-pkg/,1084319933,100.00,,
47.74,Joules,power/energy-pkg/,1207830331,100.00,,
38.18,Joules,power/energy-pkg/,1022326798,100.00,,
39.17,Joules,power/energy-pkg/,1039251399,100.00,,
49.95,Joules,power/energy-pkg/,1250451465,100.00,,
47.57,Joules,power/energy-pkg/,1227338958,100.00,,
47.13,Joules,power/energy-pkg/,1230118902,100.00,,
48.71,Joules,power/energy-pkg/,1246408443,100.00,,
39.47,Joules,power/energy-pkg/,1045189285,100.00,,
45.07,Joules,power/energy-pkg/,1170206730,100.00,,
52.10,Joules,power/energy-pkg/,1312324966,100.00,,
51.24,Joules,power/energy-pkg/,1284466228,100.00,,
54.56,Joules,power/energy-pkg/,1356279220,100.00,,
43.62,Joules,power/energy-pkg/,1125955359,100.00,,
54.57,Joules,power/energy-pkg/,1405761331,100.00,,
45.60,Joules,power/energy-pkg/,1217659906,100.00,,
49.27,Joules,power/energy-pkg/,1260137761,100.00,,
56.82,Joules,power/energy-pkg/,1415586629,100.00,,
54.82,Joules,power/energy-pkg/,1397792707,100.00,,
42.20,Joules,power/energy-pkg/,1086492708,100.00,,
62.79,Joules,power/energy-pkg/,1558861555,100.00,,
55.99,Joules,power/energy-pkg/,1413654164,100.00,,
55.34,Joules,power/energy-pkg/,1383790907,100.00,,
61.76,Joules,power/energy-pkg/,1516078637,100.00,,
52.72,Joules,power/energy-pkg/,1321486658,100.00,,
59.64,Joules,power/energy-pkg/,1498481274,100.00,,
60.68,Joules,power/energy-pkg/,1522314111,100.00,,
51.49,Joules,power/energy-pkg/,1320748284,100.00,,
48.54,Joules,power/energy-pkg/,1256223561,100.00,,
55.54,Joules,power/energy-pkg/,1390587704,100.00,,
54.84,Joules,power/energy-pkg/,1381823638,100.00,,
56.07,Joules,power/energy-pkg/,1412782499,100.00,,
64.55,Joules,power/energy-pkg/,1567220782,100.00,,
59.63,Joules,power/energy-pkg/,1487492936,100.00,,
64.30,Joules,power/energy-pkg/,1576956330,100.00,,
63.44,Joules,power/energy-pkg/,1592351022,100.00,,
58.56,Joules,power/energy-pkg/,1485549811,100.00,,
63.30,Joules,power/energy-pkg/,1576877162,100.00,,
64.96,Joules,power/energy-pkg/,1617018605,100.00,,
66.28,Joules,power/energy-pkg/,1669754399,100.00,,
73.96,Joules,power/energy-pkg/,1838226491,100.00,,
79.63,Joules,power/energy-pkg/,1945968186,100.00,,
58.72,Joules,power/energy-pkg/,1473734312,100.00,,
69.97,Joules,power/energy-pkg/,1694005190,100.00,,
65.23,Joules,power/energy-pkg/,1609827359,100.00,,
66.49,Joules,power/energy-pkg/,1639768992,100.00,,
56.62,Joules,power/energy-pkg/,1472396593,100.00,,
61.72,Joules,power/energy-pkg/,1568961827,100.00,,
70.57,Joules,power/energy-pkg/,1760774113,100.00,,
62.88,Joules,power/energy-pkg/,1591195395,100.00,,
80.38,Joules,power/energy-pkg/,1957551309,100.00,,
86.79,Joules,power/energy-pkg/,2139063937,100.00,,
67.29,Joules,power/energy-pkg/,1626872135,100.00,,
77.75,Joules,power/energy-pkg/,1926825895,100.00,,
67.20,Joules,power/energy-pkg/,1654628171,100.00,,
98.61,Joules,power/energy-pkg/,2295686566,100.00,,
92.03,Joules,power/energy-pkg/,2199891988,100.00,,
91.97,Joules,power/energy-pkg/,2138841331,100.00,,
93.55,Joules,power/energy-pkg/,2172516306,100.00,,
87.22,Joules,power/energy-pkg/,2086561732,100.00,,
80.54,Joules,power/energy-pkg/,1951015331,100.00,,
81.52,Joules,power/energy-pkg/,2025768166,100.00,,
76.02,Joules,power/energy-pkg/,1843738698,100.00,,
92.26,Joules,power/energy-pkg/,2229041597,100.00,,
70.62,Joules,power/energy-pkg/,1763695542,100.00,,
124.89,Joules,power/energy-pkg/,2809921772,100.00,,
128.94,Joules,power/energy-pkg/,2887388487,100.00,,
124.37,Joules,power/energy-pkg/,2703387050,100.00,,
121.46,Joules,power/energy-pkg/,2674294980,100.00,,
139.62,Joules,power/energy-pkg/,3008347690,100.00,,
74.02,Joules,power/energy-pkg/,1821004401,100.00,,
100.27,Joules,power/energy-pkg/,2378974940,100.00,,
81.28,Joules,power/energy-pkg/,1972094224,100.00,,
82.64,Joules,power/energy-pkg/,1999238241,100.00,,
86.95,Joules,power/energy-pkg/,2128059971,100.00,,
167.07,Joules,power/energy-pkg/,3636658770,100.00,,
147.84,Joules,power/energy-pkg/,3129311813,100.00,,
160.84,Joules,power/energy-pkg/,3401488148,100.00,,
156.24,Joules,power/energy-pkg/,3394800495,100.00,,
151.25,Joules,power/energy-pkg/,3466385059,100.00,,
94.83,Joules,power/energy-pkg/,2257852220,100.00,,
94.14,Joules,power/energy-pkg/,2284822963,100.00,,
107.10,Joules,power/energy-pkg/,2532418476,100.00,,
79.56,Joules,power/energy-pkg/,1944433768,100.00,,
85.81,Joules,power/energy-pkg/,2056776051,100.00,,
181.44,Joules,power/energy-pkg/,3765958946,100.00,,
184.91,Joules,power/energy-pkg/,4088241483,100.00,,
183.66,Joules,power/energy-pkg/,3928557022,100.00,,
196.85,Joules,power/energy-pkg/,4275439974,100.00,,
198.00,Joules,power/energy-pkg/,4166438708,100.00,,
103.85,Joules,power/energy-pkg/,2441639905,100.00,,
98.61,Joules,power/energy-pkg/,2362029650,100.00,,
99.23,Joules,power/energy-pkg/,2385403106,100.00,,
93.67,Joules,power/energy-pkg/,2271145151,100.00,,
88.62,Joules,power/energy-pkg/,2171411765,100.00,,
210.47,Joules,power/energy-pkg/,4428971106,100.00,,
212.78,Joules,power/energy-pkg/,4545028656,100.00,,
222.17,Joules,power/energy-pkg/,4755168393,100.00,,
217.81,Joules,power/energy-pkg/,4721583848,100.00,,
238.25,Joules,power/energy-pkg/,5125505133,100.00,,
96.87,Joules,power/energy-pkg/,2352085650,100.00,,
98.81,Joules,power/energy-pkg/,2389914857,100.00,,
105.50,Joules,power/energy-pkg/,2550481333,100.00,,
96.14,Joules,power/energy-pkg/,2334364546,100.00,,
94.10,Joules,power/energy-pkg/,2341895268,100.00,,
252.11,Joules,power/energy-pkg/,5255874406,100.00,,
252.40,Joules,power/energy-pkg/,5434175190,100.00,,
264.66,Joules,power/energy-pkg/,5777376680,100.00,,
242.66,Joules,power/energy-pkg/,5318993793,100.00,,
233.08,Joules,power/energy-pkg/,5305402373,100.00,,
105.70,Joules,power/energy-pkg/,2578018527,100.00,,
108.35,Joules,power/energy-pkg/,2579927839,100.00,,
101.70,Joules,power/energy-pkg/,2461501305,100.00,,
115.83,Joules,power/energy-pkg/,2773954777,100.00,,
119.51,Joules,power/energy-pkg/,2851827834,100.00,,
264.95,Joules,power/energy-pkg/,5747978244,100.00,,
289.61,Joules,power/energy-pkg/,6407274084,100.00,,
309.21,Joules,power/energy-pkg/,6568166319,100.00,,
283.72,Joules,power/energy-pkg/,6119011260,100.00,,
291.59,Joules,power/energy-pkg/,6390727942,100.00,,
132.17,Joules,power/energy-pkg/,3214505490,100.00,,
111.41,Joules,power/energy-pkg/,2648898790,100.00,,
109.43,Joules,power/energy-pkg/,2626098449,100.00,,
94.86,Joules,power/energy-pkg/,2493361527,100.00,,
101.40,Joules,power/energy-pkg/,2433434376,100.00,,
313.07,Joules,power/energy-pkg/,6633733307,100.00,,
353.08,Joules,power/energy-pkg/,7790202954,100.00,,
337.20,Joules,power/energy-pkg/,7226514462,100.00,,
314.53,Joules,power/energy-pkg/,6830192738,100.00,,
286.78,Joules,power/energy-pkg/,6158254057,100.00,,
104.82,Joules,power/energy-pkg/,2736364177,100.00,,
114.27,Joules,power/energy-pkg/,2919559151,100.00,,
123.47,Joules,power/energy-pkg/,3141311278,100.00,,
141.22,Joules,power/energy-pkg/,3277400156,100.00,,
101.19,Joules,power/energy-pkg/,2473594555,100.00,,
354.72,Joules,power/energy-pkg/,7533530286,100.00,,
339.36,Joules,power/energy-pkg/,7409242660,100.00,,
365.66,Joules,power/energy-pkg/,7972180736,100.00,,
311.02,Joules,power/energy-pkg/,7045367018,100.00,,
386.87,Joules,power/energy-pkg/,8589174740,100.00,,
128.64,Joules,power/energy-pkg/,3103339353,100.00,,
117.51,Joules,power/energy-pkg/,2796361018,100.00,,
121.59,Joules,power/energy-pkg/,2922537096,100.00,,
128.77,Joules,power/energy-pkg/,3060789472,100.00,,
121.18,Joules,power/energy-pkg/,2869423955,100.00,,
405.61,Joules,power/energy-pkg/,8961132109,100.00,,
358.56,Joules,power/energy-pkg/,7858555687,100.00,,
383.11,Joules,power/energy-pkg/,8809416393,100.00,,
383.83,Joules,power/energy-pkg/,8407480050,100.00,,
371.93,Joules,power/energy-pkg/,8542596455,100.00,,
125.11,Joules,power/energy-pkg/,2974961186,100.00,,
132.76,Joules,power/energy-pkg/,3180849069,100.00,,
131.15,Joules,power/energy-pkg/,3159053262,100.00,,
120.16,Joules,power/energy-pkg/,2899521992,100.00,,
117.86,Joules,power/energy-pkg/,2851658988,100.00,,
405.62,Joules,power/energy-pkg/,8653383410,100.00,,
403.40,Joules,power/energy-pkg/,9056481392,100.00,,
395.82,Joules,power/energy-pkg/,9213036194,100.00,,
416.87,Joules,power/energy-pkg/,9417951453,100.00,,
414.22,Joules,power/energy-pkg/,8968689934,100.00,,
127.80,Joules,power/energy-pkg/,3070767045,100.00,,
139.17,Joules,power/energy-pkg/,3339832445,100.00,,
129.24,Joules,power/energy-pkg/,3118569967,100.00,,
119.38,Joules,power/energy-pkg/,3176007259,100.00,,
137.75,Joules,power/energy-pkg/,3291018085,100.00,,
426.12,Joules,power/energy-pkg/,9333770755,100.00,,
460.04,Joules,power/energy-pkg/,10129664900,100.00,,
433.76,Joules,power/energy-pkg/,9488183771,100.00,,
451.84,Joules,power/energy-pkg/,10428200770,100.00,,
431.08,Joules,power/energy-pkg/,9685312787,100.00,,
165.14,Joules,power/energy-pkg/,3891320476,100.00,,
145.55,Joules,power/energy-pkg/,3423004280,100.00,,
130.52,Joules,power/energy-pkg/,3101974363,100.00,,
130.77,Joules,power/energy-pkg/,3139147449,100.00,,
157.96,Joules,power/energy-pkg/,3725918051,100.00,,
440.39,Joules,power/energy-pkg/,9601829578,100.00,,
471.52,Joules,power/energy-pkg/,10624405323,100.00,,
493.72,Joules,power/energy-pkg/,11133709690,100.00,,
461.85,Joules,power/energy-pkg/,10159157441,100.00,,
458.96,Joules,power/energy-pkg/,11013051571,100.00,,
156.12,Joules,power/energy-pkg/,3744876597,100.00,,
138.71,Joules,power/energy-pkg/,3292705912,100.00,,
154.50,Joules,power/energy-pkg/,3645007928,100.00,,
144.81,Joules,power/energy-pkg/,3481078726,100.00,,
143.12,Joules,power/energy-pkg/,3401173257,100.00,,
531.42,Joules,power/energy-pkg/,11835950732,100.00,,
498.00,Joules,power/energy-pkg/,10981200876,100.00,,
477.03,Joules,power/energy-pkg/,10834295883,100.00,,
471.14,Joules,power/energy-pkg/,10354279824,100.00,,
480.34,Joules,power/energy-pkg/,10910626197,100.00,,
139.16,Joules,power/energy-pkg/,3393072945,100.00,,
142.47,Joules,power/energy-pkg/,3407151739,100.00,,
152.70,Joules,power/energy-pkg/,3685578526,100.00,,
152.64,Joules,power/energy-pkg/,3614172257,100.00,,
143.33,Joules,power/energy-pkg/,3392502285,100.00,,
575.33,Joules,power/energy-pkg/,12858661670,100.00,,
525.59,Joules,power/energy-pkg/,11507586489,100.00,,
598.46,Joules,power/energy-pkg/,13296692898,100.00,,
538.97,Joules,power/energy-pkg/,11907993114,100.00,,
557.94,Joules,power/energy-pkg/,12333536812,100.00,,
140.68,Joules,power/energy-pkg/,3342766047,100.00,,
183.24,Joules,power/energy-pkg/,4260487993,100.00,,
156.04,Joules,power/energy-pkg/,3707099197,100.00,,
151.05,Joules,power/energy-pkg/,3547706373,100.00,,
136.46,Joules,power/energy-pkg/,3601231918,100.00,,
587.52,Joules,power/energy-pkg/,13354774126,100.00,,
510.68,Joules,power/energy-pkg/,11221895899,100.00,,
573.10,Joules,power/energy-pkg/,12782617292,100.00,,
549.02,Joules,power/energy-pkg/,11936398917,100.00,,
599.86,Joules,power/energy-pkg/,13429358305,100.00,,
154.43,Joules,power/energy-pkg/,3700105410,100.00,,
167.59,Joules,power/energy-pkg/,3950184443,100.00,,
136.29,Joules,power/energy-pkg/,3275405826,100.00,,
162.59,Joules,power/energy-pkg/,3800018934,100.00,,
168.08,Joules,power/energy-pkg/,3987507109,100.00,,
583.39,Joules,power/energy-pkg/,13027716354,100.00,,
612.40,Joules,power/energy-pkg/,13393911557,100.00,,
602.82,Joules,power/energy-pkg/,13692676538,100.00,,
622.32,Joules,power/energy-pkg/,14275814937,100.00,,
570.23,Joules,power/energy-pkg/,12365292909,100.00,,
159.25,Joules,power/energy-pkg/,3781388303,100.00,,
154.60,Joules,power/energy-pkg/,3662853135,100.00,,
160.28,Joules,power/energy-pkg/,3780332053,100.00,,
175.54,Joules,power/energy-pkg/,4130946213,100.00,,
166.91,Joules,power/energy-pkg/,3917055240,100.00,,
628.15,Joules,power/energy-pkg/,13414513494,100.00,,
658.29,Joules,power/energy-pkg/,14778397778,100.00,,
621.42,Joules,power/energy-pkg/,14229328694,100.00,,
662.80,Joules,power/energy-pkg/,14828821396,100.00,,
622.37,Joules,power/energy-pkg/,14023143493,100.00,,
162.43,Joules,power/energy-pkg/,3912706204,100.00,,
